#
# ROI color statistics timeseries for twolcsh
#
# Site: twolcsh
# Veg Type: SH
# ROI ID Number: 1000
# Lat: 27.665
# Lon: -98.2007
# Elev: 216
# UTC Offset: -6
# Resize Flag: False
# Version: 1
# Creation Date: 2018-08-07
# Creation Time: 16:56:02
# Update Date: 2019-01-14
# Update Time: 05:17:33
#
date,local_std_time,doy,filename,solar_elev,exposure,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2018-06-27,12:08:07,178,twolcsh_2018_06_27_120807.jpg,82.35989,38,1,0.40359,0.38483,101.28546,50.66174,18,36,66,100,133,166,188,106.22170,49.00356,26,43,72,106,138,168,189,55.68613,42.16860,0,0,23,52,81,111,132,0.98780,0.94131,0.94558
2018-06-27,12:38:06,178,twolcsh_2018_06_27_123806.jpg,85.60525,121,1,0.40874,0.34900,92.25542,43.72324,22,38,63,90,119,148,167,108.04769,43.37442,37,54,80,107,135,163,181,64.04021,39.04613,3,16,37,61,87,114,132,0.98899,0.92364,0.94555
2018-06-27,13:08:06,178,twolcsh_2018_06_27_130806.jpg,81.53129,36,1,0.40172,0.38514,100.87150,51.49759,16,34,65,100,133,166,189,105.21555,49.60174,23,40,71,105,137,168,189,55.82499,42.90778,0,0,22,51,81,112,134,0.98705,0.94360,0.94660
2018-06-27,13:38:05,178,twolcsh_2018_06_27_133805.jpg,75.32480,62,1,0.40861,0.36922,91.60798,44.00264,20,36,62,90,119,147,167,101.38126,42.90653,31,47,73,101,129,155,173,55.12256,37.38395,0,6,28,52,77,103,122,0.98716,0.92965,0.94355
2018-06-27,14:08:05,178,twolcsh_2018_06_27_140805.jpg,68.78842,34,1,0.40065,0.38564,101.79718,52.30417,15,33,65,101,135,169,192,105.75852,50.29763,22,40,71,106,138,169,191,56.41156,43.32777,0,0,22,52,82,113,136,0.98670,0.94326,0.94590
2018-06-27,14:38:05,178,twolcsh_2018_06_27_143805.jpg,62.16869,36,1,0.40000,0.38867,104.32899,52.45553,18,36,67,104,138,171,194,107.36906,50.16261,24,41,72,107,140,171,191,56.72580,42.88862,0,0,23,53,83,113,134,0.98702,0.94229,0.94488
2018-06-27,15:08:05,178,twolcsh_2018_06_27_150805.jpg,55.53019,93,1,0.41050,0.36503,92.36901,41.63718,22,39,65,92,119,145,162,103.87315,41.03696,34,51,77,104,131,155,171,56.79983,35.55797,0,10,31,55,79,103,119,0.98639,0.91929,0.93943
2018-06-27,15:38:05,178,twolcsh_2018_06_27_153805.jpg,48.90088,32,1,0.39751,0.38658,104.10867,53.52688,14,32,66,104,139,172,194,107.05244,51.37148,20,38,71,108,141,172,192,58.14475,43.54301,0,0,24,55,85,115,137,0.98640,0.94281,0.94407
2018-06-27,16:08:06,178,twolcsh_2018_06_27_160806.jpg,42.29451,32,1,0.39593,0.38578,100.98336,52.36897,13,30,64,102,136,167,188,103.63905,50.34095,18,35,68,105,138,166,186,57.14178,42.30642,0,0,24,54,83,112,133,0.98671,0.94344,0.94450
2018-06-27,16:38:06,178,twolcsh_2018_06_27_163806.jpg,35.73269,34,1,0.39408,0.38293,100.69890,53.83524,10,27,61,102,137,169,189,103.63169,51.75984,16,32,66,105,139,168,187,58.63874,42.90954,0,0,25,56,85,114,135,0.98716,0.94360,0.94345
