#
# Transition date estimate for ufona
#
# Site: ufona
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:09:09
# Spline RMSE gcc_mean: 0.00134
# Spline RMSE gcc_50: 0.00128
# Spline RMSE gcc_75: 0.00158
# Spline RMSE gcc_90: 0.00238
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ufona,SH,1000,rising,gcc_90,2017-04-30,2017-05-20,2017-06-01,2017-04-27,2017-05-15,2017-05-29,2017-05-15,2017-05-26,2017-06-02,0.33722,0.33987,0.34512,0.33565,0.35309
ufona,SH,1000,rising,gcc_90,2018-04-12,2018-05-06,2018-05-14,2018-04-08,2018-05-03,2018-05-11,2018-05-03,2018-05-09,2018-05-16,0.33231,0.33464,0.33929,0.33068,0.34718
ufona,SH,1000,rising,gcc_75,2017-04-22,2017-05-13,2017-05-31,2017-04-18,2017-05-11,2017-05-26,2017-04-30,2017-05-17,2017-06-01,0.33399,0.33638,0.34196,0.33215,0.35098
ufona,SH,1000,rising,gcc_75,2018-05-04,2018-05-09,2018-05-14,2018-04-22,2018-05-08,2018-05-12,2018-05-09,2018-05-12,2018-05-15,0.33214,0.33378,0.33859,0.33081,0.34515
ufona,SH,1000,rising,gcc_50,2017-04-28,2017-05-15,2017-06-01,2017-04-20,2017-05-13,2017-05-30,2017-05-01,2017-05-19,2017-06-02,0.33236,0.33495,0.3403,0.33106,0.34817
ufona,SH,1000,rising,gcc_50,2018-04-21,2018-05-06,2018-05-13,2018-04-19,2018-05-03,2018-05-11,2018-04-22,2018-05-09,2018-05-14,0.32876,0.33146,0.33599,0.32771,0.3431
ufona,SH,1000,rising,gcc_mean,2017-05-12,2017-05-17,2017-06-01,2017-04-29,2017-05-15,2017-05-30,2017-05-13,2017-05-22,2017-06-02,0.33389,0.3362,0.34073,0.33248,0.34863
ufona,SH,1000,rising,gcc_mean,2018-04-22,2018-05-06,2018-05-13,2018-04-19,2018-05-03,2018-05-11,2018-04-23,2018-05-09,2018-05-14,0.32918,0.3315,0.33609,0.32764,0.34336
ufona,SH,1000,falling,gcc_90,2018-11-27,2018-11-20,2018-10-25,2018-12-17,2018-11-22,2018-10-29,2018-11-21,2018-11-15,2018-10-23,0.33406,0.33593,0.34019,0.33255,0.34775
ufona,SH,1000,falling,gcc_90,2017-12-29,2017-12-09,2017-11-03,2017-12-31,2017-12-14,2017-11-07,2017-12-17,2017-12-04,2017-10-31,0.33171,0.33527,0.34105,0.32976,0.35196
ufona,SH,1000,falling,gcc_75,2018-12-21,2018-11-25,2018-11-13,2018-12-23,2018-12-08,2018-11-14,2018-12-18,2018-11-18,2018-10-26,0.33163,0.33351,0.33787,0.33016,0.34515
ufona,SH,1000,falling,gcc_75,2018-01-01,2017-12-13,2017-11-01,2018-01-03,2017-12-14,2017-11-16,2017-12-31,2017-12-10,2017-10-30,0.32986,0.33269,0.33937,0.32799,0.3501
ufona,SH,1000,falling,gcc_50,2018-12-22,2018-11-25,2018-11-16,2018-12-23,2018-12-09,2018-11-18,2018-12-19,2018-11-20,2018-11-13,0.32993,0.33241,0.33595,0.32926,0.34249
ufona,SH,1000,falling,gcc_50,2017-12-15,2017-12-12,2017-10-31,2017-12-31,2017-12-13,2017-11-03,2017-12-13,2017-12-09,2017-10-30,0.33074,0.33312,0.33919,0.32879,0.34851
ufona,SH,1000,falling,gcc_mean,2018-12-22,2018-11-24,2018-11-14,2018-12-23,2018-11-27,2018-11-18,2018-12-19,2018-11-19,2018-10-26,0.33014,0.33282,0.33676,0.32919,0.34396
ufona,SH,1000,falling,gcc_mean,2017-12-15,2017-12-02,2017-10-31,2017-12-31,2017-12-13,2017-11-02,2017-12-13,2017-11-28,2017-10-30,0.33082,0.33399,0.33951,0.32905,0.34893
