#
# Transition date estimate for uiefmiscanthus
#
# Site: uiefmiscanthus
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2009
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:11:08
# Spline RMSE gcc_mean: 0.00328
# Spline RMSE gcc_50: 0.00375
# Spline RMSE gcc_75: 0.00394
# Spline RMSE gcc_90: 0.00425
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus,AG,1000,rising,gcc_90,2009-05-07,2009-05-23,2009-06-05,2009-05-04,2009-05-22,2009-06-03,2009-05-10,2009-05-25,2009-06-06,0.34687,0.36391,0.39829,0.33455,0.45915
uiefmiscanthus,AG,1000,rising,gcc_90,2010-06-03,2010-06-17,2010-06-29,2010-05-31,2010-06-15,2010-06-27,2010-06-07,2010-06-19,2010-06-30,0.34254,0.35481,0.37721,0.33445,0.4168
uiefmiscanthus,AG,1000,rising,gcc_90,2011-05-04,2011-05-10,2011-05-21,2011-05-03,2011-05-09,2011-05-19,2011-05-07,2011-05-12,2011-05-22,0.34151,0.35339,0.37887,0.33373,0.42165
uiefmiscanthus,AG,1000,rising,gcc_90,2012-04-26,2012-05-01,2012-05-08,2012-04-25,2012-04-30,2012-05-06,2012-04-28,2012-05-03,2012-05-09,0.34041,0.35231,0.37683,0.33331,0.41603
uiefmiscanthus,AG,1000,rising,gcc_90,2013-05-14,2013-05-19,2013-05-26,2013-05-13,2013-05-18,2013-05-25,2013-05-16,2013-05-20,2013-05-27,0.33997,0.35327,0.37481,0.33268,0.41653
uiefmiscanthus,AG,1000,rising,gcc_90,2014-05-19,2014-05-25,2014-06-01,2014-05-17,2014-05-24,2014-05-31,2014-05-22,2014-05-27,2014-06-02,0.34073,0.35111,0.37098,0.33374,0.40754
uiefmiscanthus,AG,1000,rising,gcc_90,2015-05-04,2015-05-11,2015-05-21,2015-05-02,2015-05-10,2015-05-19,2015-05-07,2015-05-13,2015-05-22,0.34,0.35012,0.37009,0.33369,0.40317
uiefmiscanthus,AG,1000,rising,gcc_90,2016-05-08,2016-05-17,2016-05-26,2016-05-06,2016-05-16,2016-05-24,2016-05-11,2016-05-19,2016-05-27,0.34344,0.35382,0.37734,0.33627,0.41275
uiefmiscanthus,AG,1000,rising,gcc_90,2017-05-08,2017-05-15,2017-05-24,2017-04-20,2017-05-14,2017-05-22,2017-05-11,2017-05-17,2017-05-26,0.34177,0.35188,0.36992,0.33574,0.40318
uiefmiscanthus,AG,1000,rising,gcc_75,2009-05-09,2009-05-24,2009-06-05,2009-05-06,2009-05-23,2009-06-03,2009-05-13,2009-05-26,2009-06-06,0.34592,0.36267,0.39555,0.33395,0.45516
