#
# Transition date estimate for upperbuffalo
#
# Site: upperbuffalo
# Veg Type: DB
# ROI ID Number: 5000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:16:29
# Spline RMSE gcc_mean: 0.00316
# Spline RMSE gcc_50: 0.00362
# Spline RMSE gcc_75: 0.00344
# Spline RMSE gcc_90: 0.00383
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
upperbuffalo,DB,5000,rising,gcc_90,2014-04-20,2014-04-23,2014-04-28,2014-04-19,2014-04-22,2014-04-27,2014-04-22,2014-04-25,2014-04-29,0.3371,0.34576,0.36605,0.33097,0.40069
upperbuffalo,DB,5000,rising,gcc_90,2015-04-09,2015-04-14,2015-04-22,2015-04-06,2015-04-13,2015-04-20,2015-04-12,2015-04-16,2015-04-23,0.33304,0.34221,0.36475,0.32585,0.4009
upperbuffalo,DB,5000,rising,gcc_75,2014-04-18,2014-04-22,2014-04-27,2014-04-17,2014-04-21,2014-04-26,2014-04-21,2014-04-24,2014-04-28,0.33124,0.34065,0.35924,0.32615,0.39053
upperbuffalo,DB,5000,rising,gcc_75,2015-04-10,2015-04-15,2015-04-22,2015-04-08,2015-04-14,2015-04-20,2015-04-12,2015-04-17,2015-04-23,0.33265,0.343,0.36251,0.32588,0.3949
upperbuffalo,DB,5000,rising,gcc_50,2014-04-18,2014-04-21,2014-04-26,2014-04-16,2014-04-20,2014-04-25,2014-04-20,2014-04-23,2014-04-27,0.32896,0.33507,0.35129,0.32402,0.37679
upperbuffalo,DB,5000,rising,gcc_50,2015-04-10,2015-04-14,2015-04-21,2015-04-09,2015-04-13,2015-04-19,2015-04-13,2015-04-17,2015-04-22,0.33039,0.33811,0.35696,0.32588,0.38441
upperbuffalo,DB,5000,rising,gcc_mean,2014-04-20,2014-04-22,2014-04-27,2014-04-19,2014-04-21,2014-04-25,2014-04-22,2014-04-24,2014-04-28,0.33149,0.33702,0.35408,0.32725,0.37667
upperbuffalo,DB,5000,rising,gcc_mean,2015-04-11,2015-04-15,2015-04-21,2015-04-09,2015-04-14,2015-04-19,2015-04-13,2015-04-17,2015-04-22,0.3318,0.33998,0.3562,0.32615,0.38287
upperbuffalo,DB,5000,falling,gcc_90,2015-10-25,2015-10-19,2015-09-15,2015-12-22,2015-12-22,2015-10-22,2015-09-17,2015-09-17,2015-08-26,0.33743,0.34611,0.3629,0.33195,0.39371
upperbuffalo,DB,5000,falling,gcc_90,2014-10-26,2014-10-21,2014-10-10,2014-10-28,2014-10-23,2014-10-14,2014-10-23,2014-10-18,2014-09-21,0.33587,0.34337,0.35726,0.33162,0.38208
upperbuffalo,DB,5000,falling,gcc_75,2015-10-25,2015-10-19,2015-09-19,2015-12-22,2015-12-22,2015-12-22,2015-09-17,2015-09-17,2015-09-17,0.33255,0.34195,0.3571,0.32802,0.38493
upperbuffalo,DB,5000,falling,gcc_75,2014-10-24,2014-10-20,2014-10-09,2014-10-26,2014-10-22,2014-10-13,2014-10-22,2014-10-18,2014-09-09,0.33383,0.34048,0.35406,0.32881,0.37916
upperbuffalo,DB,5000,falling,gcc_50,2015-10-26,2015-10-20,2015-09-19,2015-12-22,2015-12-22,2015-12-22,2015-09-17,2015-09-17,2015-09-17,0.32798,0.33647,0.3512,0.32352,0.37753
upperbuffalo,DB,5000,falling,gcc_50,2014-10-26,2014-10-21,2014-10-12,2014-10-28,2014-10-23,2014-10-15,2014-10-23,2014-10-18,2014-10-07,0.32813,0.33517,0.34718,0.32476,0.36909
upperbuffalo,DB,5000,falling,gcc_mean,2015-10-26,2015-10-20,2015-09-19,2015-12-22,2015-12-22,2015-12-22,2015-09-17,2015-09-17,2015-09-17,0.32881,0.33717,0.35072,0.32523,0.37499
upperbuffalo,DB,5000,falling,gcc_mean,2014-10-25,2014-10-21,2014-10-12,2014-10-27,2014-10-23,2014-10-15,2014-10-23,2014-10-18,2014-10-09,0.33022,0.33594,0.34653,0.32672,0.36494
