#
# Transition date estimate for usgseros
#
# Site: usgseros
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2014
# Year max: 2017
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:16:59
# Spline RMSE gcc_mean: 0.00459
# Spline RMSE gcc_50: 0.00502
# Spline RMSE gcc_75: 0.00461
# Spline RMSE gcc_90: 0.00459
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usgseros,DB,1000,rising,gcc_90,2015-04-13,2015-04-23,2015-04-30,2015-04-11,2015-04-22,2015-04-28,2015-04-16,2015-04-25,2015-05-01,0.35579,0.3716,0.40238,0.34656,0.45075
usgseros,DB,1000,rising,gcc_90,2016-04-14,2016-04-19,2016-04-29,2016-04-13,2016-04-18,2016-04-26,2016-04-17,2016-04-21,2016-04-30,0.35414,0.36742,0.3971,0.34599,0.44491
usgseros,DB,1000,rising,gcc_90,2017-04-18,2017-05-02,2017-05-07,2017-04-15,2017-05-01,2017-05-05,2017-04-22,2017-05-03,2017-05-08,0.35734,0.37114,0.39946,0.34919,0.4384
usgseros,DB,1000,rising,gcc_75,2015-04-13,2015-04-22,2015-04-30,2015-04-11,2015-04-21,2015-04-28,2015-04-16,2015-04-24,2015-05-01,0.35478,0.36805,0.4006,0.34561,0.44456
usgseros,DB,1000,rising,gcc_75,2016-04-14,2016-04-19,2016-04-30,2016-04-13,2016-04-18,2016-04-28,2016-04-17,2016-04-21,2016-05-01,0.35334,0.36616,0.39484,0.34533,0.44168
usgseros,DB,1000,rising,gcc_75,2017-04-18,2017-05-02,2017-05-07,2017-04-15,2017-05-01,2017-05-05,2017-04-22,2017-05-03,2017-05-08,0.35624,0.36906,0.39682,0.3483,0.43387
usgseros,DB,1000,rising,gcc_50,2015-04-13,2015-04-22,2015-04-29,2015-04-10,2015-04-21,2015-04-28,2015-04-16,2015-04-24,2015-04-30,0.3531,0.36598,0.39084,0.34422,0.43642
usgseros,DB,1000,rising,gcc_50,2016-04-15,2016-04-20,2016-05-01,2016-04-13,2016-04-19,2016-04-29,2016-04-17,2016-04-22,2016-05-02,0.35298,0.36638,0.39254,0.34428,0.43658
usgseros,DB,1000,rising,gcc_50,2017-04-18,2017-05-02,2017-05-07,2017-04-14,2017-05-01,2017-05-05,2017-04-22,2017-05-04,2017-05-08,0.35431,0.3638,0.39024,0.34651,0.42538
usgseros,DB,1000,rising,gcc_mean,2015-04-12,2015-04-22,2015-04-30,2015-04-10,2015-04-21,2015-04-28,2015-04-15,2015-04-24,2015-05-01,0.35178,0.36454,0.39386,0.3439,0.43383
usgseros,DB,1000,rising,gcc_mean,2016-04-14,2016-04-20,2016-05-01,2016-04-12,2016-04-19,2016-04-29,2016-04-17,2016-04-22,2016-05-02,0.3517,0.36563,0.39095,0.34384,0.43375
usgseros,DB,1000,rising,gcc_mean,2017-04-18,2017-05-02,2017-05-07,2017-04-14,2017-05-01,2017-05-05,2017-04-22,2017-05-04,2017-05-08,0.35391,0.36409,0.3887,0.34649,0.42397
usgseros,DB,1000,falling,gcc_90,2016-10-04,2016-09-30,2016-09-18,2016-10-05,2016-10-01,2016-09-21,2016-10-02,2016-09-28,2016-09-17,0.35612,0.36904,0.39706,0.34869,0.44235
usgseros,DB,1000,falling,gcc_90,2015-10-04,2015-10-01,2015-09-21,2015-10-05,2015-10-02,2015-09-23,2015-10-03,2015-09-29,2015-09-19,0.34813,0.36498,0.39461,0.34074,0.44693
usgseros,DB,1000,falling,gcc_90,2014-09-22,2014-09-19,2014-09-14,2014-09-23,2014-09-20,2014-09-16,2014-09-20,2014-09-17,2014-09-13,0.36431,0.37641,0.40471,0.3584,0.44158
usgseros,DB,1000,falling,gcc_75,2016-10-04,2016-09-30,2016-09-19,2016-10-05,2016-10-01,2016-09-21,2016-10-02,2016-09-28,2016-09-17,0.35495,0.36731,0.39273,0.34761,0.43774
usgseros,DB,1000,falling,gcc_75,2015-10-04,2015-10-01,2015-09-21,2015-10-05,2015-10-02,2015-09-24,2015-10-02,2015-09-29,2015-09-19,0.34702,0.3633,0.39245,0.33992,0.44296
usgseros,DB,1000,falling,gcc_75,2014-09-22,2014-09-19,2014-09-14,2014-09-23,2014-09-20,2014-09-16,2014-09-20,2014-09-17,2014-09-13,0.36292,0.37454,0.40237,0.35744,0.43755
usgseros,DB,1000,falling,gcc_50,2016-10-04,2016-09-30,2016-09-19,2016-10-05,2016-10-01,2016-09-22,2016-10-02,2016-09-28,2016-09-17,0.35175,0.36428,0.38837,0.34575,0.43031
usgseros,DB,1000,falling,gcc_50,2015-10-05,2015-10-02,2015-09-24,2015-10-06,2015-10-03,2015-09-26,2015-10-03,2015-10-01,2015-09-22,0.33618,0.35677,0.38486,0.33129,0.43714
usgseros,DB,1000,falling,gcc_50,2014-09-22,2014-09-19,2014-09-14,2014-09-23,2014-09-20,2014-09-16,2014-09-20,2014-09-17,2014-09-13,0.36109,0.37176,0.39892,0.35634,0.43032
usgseros,DB,1000,falling,gcc_mean,2016-10-03,2016-09-30,2016-09-19,2016-10-04,2016-10-01,2016-09-22,2016-10-01,2016-09-28,2016-09-17,0.35414,0.36357,0.38765,0.34623,0.4286
usgseros,DB,1000,falling,gcc_mean,2015-10-05,2015-10-02,2015-09-24,2015-10-06,2015-10-03,2015-09-26,2015-10-03,2015-10-01,2015-09-21,0.33672,0.35657,0.38317,0.332,0.43404
usgseros,DB,1000,falling,gcc_mean,2014-09-22,2014-09-19,2014-09-14,2014-09-23,2014-09-20,2014-09-16,2014-09-20,2014-09-17,2014-09-13,0.36108,0.37124,0.39695,0.35604,0.4286
