#
# Transition date estimate for usgsreston
#
# Site: usgsreston
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2014
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:17:08
# Spline RMSE gcc_mean: 0.00235
# Spline RMSE gcc_50: 0.00291
# Spline RMSE gcc_75: 0.00332
# Spline RMSE gcc_90: 0.00473
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usgsreston,DB,1000,rising,gcc_90,2012-03-24,2012-03-28,2012-04-04,2012-03-20,2012-03-26,2012-04-01,2012-03-27,2012-03-31,2012-04-06,0.33523,0.34079,0.35253,0.33143,0.37117
usgsreston,DB,1000,rising,gcc_90,2013-04-09,2013-04-13,2013-04-19,2013-04-05,2013-04-11,2013-04-17,2013-04-12,2013-04-16,2013-04-21,0.33477,0.34019,0.35301,0.33038,0.3749
usgsreston,DB,1000,rising,gcc_90,2014-04-20,2014-04-23,2014-04-29,2014-04-11,2014-04-22,2014-04-27,2014-04-23,2014-04-26,2014-05-01,0.33412,0.33878,0.35012,0.33044,0.36974
usgsreston,DB,1000,rising,gcc_75,2012-03-23,2012-03-26,2012-04-01,2012-03-20,2012-03-24,2012-03-29,2012-03-26,2012-03-29,2012-04-02,0.33134,0.3353,0.34429,0.32854,0.35834
usgsreston,DB,1000,rising,gcc_75,2013-04-10,2013-04-13,2013-04-19,2013-04-07,2013-04-12,2013-04-16,2013-04-13,2013-04-16,2013-04-20,0.33219,0.33658,0.35046,0.32898,0.36791
usgsreston,DB,1000,rising,gcc_75,2014-04-19,2014-04-24,2014-04-30,2014-03-08,2014-04-22,2014-04-27,2014-04-23,2014-04-27,2014-05-01,0.33035,0.33616,0.34796,0.32736,0.36354
usgsreston,DB,1000,rising,gcc_50,2012-03-18,2012-03-23,2012-03-30,2012-03-15,2012-03-20,2012-03-27,2012-03-22,2012-03-26,2012-04-01,0.32405,0.32892,0.33615,0.32198,0.34995
usgsreston,DB,1000,rising,gcc_50,2013-04-10,2013-04-13,2013-04-18,2013-04-06,2013-04-12,2013-04-16,2013-04-13,2013-04-15,2013-04-19,0.32842,0.33266,0.34429,0.32502,0.35972
usgsreston,DB,1000,rising,gcc_50,2014-04-01,2014-04-20,2014-04-27,2014-02-28,2014-04-14,2014-04-24,2014-04-18,2014-04-23,2014-04-29,0.32594,0.32954,0.33717,0.32333,0.34988
usgsreston,DB,1000,rising,gcc_mean,2012-03-20,2012-03-24,2012-03-31,2012-03-18,2012-03-22,2012-03-28,2012-03-23,2012-03-27,2012-04-02,0.32564,0.32976,0.33847,0.32339,0.35257
usgsreston,DB,1000,rising,gcc_mean,2013-04-08,2013-04-13,2013-04-18,2013-04-05,2013-04-12,2013-04-16,2013-04-12,2013-04-15,2013-04-19,0.32677,0.33227,0.34289,0.32392,0.35861
usgsreston,DB,1000,rising,gcc_mean,2014-04-11,2014-04-21,2014-04-28,2014-03-08,2014-04-19,2014-04-25,2014-04-19,2014-04-24,2014-04-29,0.32619,0.33007,0.33946,0.32325,0.35357
usgsreston,DB,1000,falling,gcc_90,2013-11-10,2013-11-06,2013-10-29,2013-11-14,2013-11-08,2013-11-02,2013-11-06,2013-11-02,2013-10-25,0.32919,0.33374,0.34334,0.32662,0.35917
usgsreston,DB,1000,falling,gcc_90,2012-11-12,2012-11-07,2012-10-30,2012-11-16,2012-11-11,2012-11-03,2012-11-07,2012-11-02,2012-10-25,0.32946,0.33356,0.34056,0.3275,0.35332
usgsreston,DB,1000,falling,gcc_75,2013-11-12,2013-11-09,2013-11-02,2013-11-16,2013-11-11,2013-11-06,2013-11-08,2013-11-06,2013-10-31,0.32506,0.32848,0.33679,0.32346,0.3478
usgsreston,DB,1000,falling,gcc_75,2012-11-17,2012-11-12,2012-11-03,2012-11-21,2012-11-16,2012-11-08,2012-11-13,2012-11-08,2012-10-31,0.32328,0.32752,0.33517,0.32097,0.34788
usgsreston,DB,1000,falling,gcc_50,2013-11-12,2013-11-10,2013-11-04,2013-11-15,2013-11-11,2013-11-07,2013-11-10,2013-11-07,2013-11-02,0.32022,0.32299,0.33189,0.31797,0.34366
usgsreston,DB,1000,falling,gcc_50,2012-11-17,2012-11-14,2012-11-07,2012-11-19,2012-11-16,2012-11-10,2012-11-14,2012-11-11,2012-11-05,0.31886,0.32193,0.33027,0.31682,0.34172
usgsreston,DB,1000,falling,gcc_mean,2013-11-11,2013-11-08,2013-11-01,2013-11-12,2013-11-09,2013-11-04,2013-11-08,2013-11-06,2013-10-31,0.32036,0.32471,0.33353,0.31873,0.34621
usgsreston,DB,1000,falling,gcc_mean,2012-11-13,2012-11-10,2012-11-05,2012-11-15,2012-11-12,2012-11-07,2012-11-11,2012-11-08,2012-11-03,0.3195,0.32392,0.33035,0.31777,0.34257
