#
# Transition date estimate for usmpj
#
# Site: usmpj
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2013
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:18:05
# Spline RMSE gcc_mean: 0.00232
# Spline RMSE gcc_50: 0.00244
# Spline RMSE gcc_75: 0.00223
# Spline RMSE gcc_90: 0.00227
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usmpj,EN,1000,rising,gcc_90,2014-04-08,2014-07-05,2014-07-19,2014-03-28,2014-07-01,2014-07-14,2014-04-14,2014-07-06,2014-07-26,0.34101,0.34452,0.35095,0.33866,0.36318
usmpj,EN,1000,rising,gcc_90,2015-03-10,2015-03-17,2015-04-25,2015-03-03,2015-03-14,2015-04-20,2015-03-14,2015-03-27,2015-05-01,0.33909,0.34271,0.34918,0.33692,0.36104
usmpj,EN,1000,rising,gcc_90,2016-03-01,2016-04-04,2016-05-07,2016-02-19,2016-04-02,2016-05-04,2016-04-04,2016-04-07,2016-05-10,0.34134,0.34335,0.34755,0.34014,0.35475
usmpj,EN,1000,rising,gcc_90,2017-03-07,2017-03-12,2017-03-19,2017-03-02,2017-03-09,2017-03-16,2017-03-11,2017-03-16,2017-03-22,0.34008,0.34227,0.34651,0.33857,0.35433
usmpj,EN,1000,rising,gcc_90,2018-03-18,2018-04-04,2018-06-16,2018-03-12,2018-03-24,2018-05-29,2018-03-24,2018-04-12,2018-07-12,0.33904,0.34264,0.34866,0.33703,0.35999
usmpj,EN,1000,rising,gcc_75,2014-04-08,2014-07-06,2014-07-20,2014-03-27,2014-06-30,2014-07-15,2014-04-14,2014-07-10,2014-07-24,0.34051,0.34388,0.34987,0.33827,0.36111
usmpj,EN,1000,rising,gcc_75,2015-03-08,2015-03-17,2015-04-25,2015-03-04,2015-03-14,2015-04-21,2015-03-14,2015-03-25,2015-04-30,0.33824,0.342,0.34793,0.33612,0.35965
usmpj,EN,1000,rising,gcc_75,2016-02-07,2016-02-12,2016-04-04,2016-02-06,2016-02-08,2016-03-01,2016-02-09,2016-02-16,2016-04-06,0.33306,0.33645,0.34286,0.33105,0.35385
usmpj,EN,1000,rising,gcc_75,2017-03-06,2017-03-11,2017-03-19,2017-03-02,2017-03-08,2017-03-16,2017-03-10,2017-03-15,2017-03-21,0.33947,0.34155,0.34615,0.3382,0.35308
usmpj,EN,1000,rising,gcc_75,2018-03-18,2018-04-03,2018-06-15,2018-03-12,2018-03-23,2018-05-29,2018-03-23,2018-04-09,2018-06-21,0.33854,0.34187,0.34796,0.33636,0.35923
usmpj,EN,1000,rising,gcc_50,2014-04-02,2014-04-17,2014-05-06,2014-03-24,2014-04-16,2014-04-27,2014-04-10,2014-04-22,2014-05-14,0.33899,0.34193,0.34792,0.33683,0.35863
usmpj,EN,1000,rising,gcc_50,2015-03-06,2015-03-15,2015-04-04,2015-03-03,2015-03-13,2015-03-30,2015-03-07,2015-03-20,2015-04-27,0.33589,0.33937,0.34586,0.33387,0.35777
usmpj,EN,1000,rising,gcc_50,2016-02-07,2016-02-11,2016-03-02,2016-02-06,2016-02-08,2016-02-27,2016-02-08,2016-02-15,2016-04-04,0.33071,0.33437,0.34068,0.32837,0.35279
usmpj,EN,1000,rising,gcc_50,2017-03-06,2017-03-12,2017-03-21,2017-03-02,2017-03-09,2017-03-18,2017-03-10,2017-03-16,2017-04-13,0.33882,0.34157,0.34663,0.33715,0.35572
usmpj,EN,1000,rising,gcc_50,2018-03-15,2018-03-25,2018-06-02,2018-03-03,2018-03-21,2018-05-20,2018-03-20,2018-04-05,2018-06-17,0.33683,0.34033,0.3464,0.33446,0.35831
usmpj,EN,1000,rising,gcc_mean,2014-03-27,2014-04-12,2014-05-05,2014-03-19,2014-04-07,2014-04-27,2014-04-09,2014-04-19,2014-05-14,0.33822,0.34081,0.3465,0.33664,0.35353
usmpj,EN,1000,rising,gcc_mean,2015-03-06,2015-03-15,2015-04-03,2015-03-03,2015-03-12,2015-03-29,2015-03-07,2015-03-19,2015-04-28,0.33596,0.33963,0.34564,0.33388,0.3573
usmpj,EN,1000,rising,gcc_mean,2016-02-07,2016-02-11,2016-03-03,2016-02-06,2016-02-08,2016-02-28,2016-02-09,2016-02-15,2016-04-05,0.33105,0.33484,0.34096,0.32896,0.35276
usmpj,EN,1000,rising,gcc_mean,2017-03-05,2017-03-12,2017-03-21,2017-03-02,2017-03-09,2017-03-20,2017-03-10,2017-03-15,2017-04-11,0.33843,0.3415,0.34653,0.33698,0.35547
usmpj,EN,1000,rising,gcc_mean,2018-03-16,2018-03-26,2018-06-02,2018-03-11,2018-03-22,2018-05-24,2018-03-21,2018-04-05,2018-06-18,0.33688,0.34042,0.34632,0.33457,0.35799
usmpj,EN,1000,falling,gcc_90,2018-11-26,2018-11-10,2018-10-25,2018-12-01,2018-11-16,2018-10-30,2018-11-18,2018-11-06,2018-10-14,0.33961,0.34299,0.34906,0.33739,0.36011
usmpj,EN,1000,falling,gcc_90,2017-12-01,2017-11-14,2017-10-25,2017-12-08,2017-11-21,2017-10-29,2017-11-22,2017-11-09,2017-10-22,0.3399,0.34318,0.34858,0.33792,0.35904
usmpj,EN,1000,falling,gcc_90,2016-11-23,2016-11-16,2016-11-07,2016-11-27,2016-11-22,2016-11-10,2016-11-19,2016-11-12,2016-11-06,0.34059,0.34337,0.34855,0.3389,0.35697
usmpj,EN,1000,falling,gcc_90,2015-11-24,2015-11-15,2015-10-31,2015-11-26,2015-11-21,2015-11-03,2015-11-21,2015-11-08,2015-10-25,0.33899,0.34287,0.34925,0.33709,0.36085
usmpj,EN,1000,falling,gcc_90,2014-11-13,2014-11-09,2014-10-24,2014-11-15,2014-11-11,2014-11-01,2014-11-11,2014-11-07,2014-10-21,0.34114,0.3448,0.35094,0.33917,0.36219
usmpj,EN,1000,falling,gcc_90,2013-11-19,2013-11-08,2013-10-17,2013-11-20,2013-11-17,2013-10-21,2013-11-17,2013-11-02,2013-10-15,0.33651,0.34056,0.34684,0.33498,0.35814
usmpj,EN,1000,falling,gcc_75,2018-11-24,2018-11-10,2018-10-25,2018-11-29,2018-11-14,2018-10-30,2018-11-15,2018-11-06,2018-10-13,0.3397,0.34265,0.34862,0.3378,0.35876
usmpj,EN,1000,falling,gcc_75,2017-11-29,2017-11-14,2017-10-25,2017-12-04,2017-11-20,2017-10-29,2017-11-21,2017-11-08,2017-10-22,0.33999,0.34285,0.3482,0.3381,0.35797
usmpj,EN,1000,falling,gcc_75,2016-11-24,2016-11-19,2016-11-08,2016-11-30,2016-11-23,2016-11-11,2016-11-20,2016-11-13,2016-11-05,0.33978,0.34238,0.34677,0.33841,0.35484
usmpj,EN,1000,falling,gcc_75,2015-11-25,2015-11-16,2015-11-01,2015-11-27,2015-11-22,2015-11-04,2015-11-24,2015-11-12,2015-10-29,0.33798,0.34168,0.34791,0.3359,0.35938
usmpj,EN,1000,falling,gcc_75,2014-11-13,2014-11-10,2014-10-24,2014-11-15,2014-11-11,2014-10-30,2014-11-11,2014-11-07,2014-10-21,0.34066,0.34377,0.34997,0.33849,0.36102
usmpj,EN,1000,falling,gcc_75,2013-11-19,2013-11-09,2013-10-18,2013-11-20,2013-11-18,2013-10-27,2013-11-17,2013-11-04,2013-10-15,0.33587,0.33998,0.34586,0.33442,0.35681
usmpj,EN,1000,falling,gcc_50,2018-11-28,2018-11-12,2018-10-28,2018-11-30,2018-11-19,2018-11-02,2018-11-21,2018-11-08,2018-10-23,0.33737,0.34076,0.34693,0.3357,0.35756
usmpj,EN,1000,falling,gcc_50,2017-12-01,2017-11-16,2017-10-27,2017-12-05,2017-11-24,2017-11-01,2017-11-24,2017-11-10,2017-10-24,0.33863,0.34165,0.34673,0.33691,0.35618
usmpj,EN,1000,falling,gcc_50,2016-11-26,2016-11-21,2016-11-07,2016-12-01,2016-11-25,2016-11-11,2016-11-22,2016-11-15,2016-11-04,0.3386,0.34134,0.34622,0.33702,0.35504
usmpj,EN,1000,falling,gcc_50,2015-11-28,2015-11-23,2015-11-06,2015-12-10,2015-11-25,2015-11-12,2015-11-27,2015-11-14,2015-11-04,0.33456,0.33822,0.34443,0.33272,0.35542
usmpj,EN,1000,falling,gcc_50,2014-11-14,2014-11-11,2014-10-27,2014-11-15,2014-11-12,2014-11-02,2014-11-12,2014-11-09,2014-10-23,0.33746,0.34131,0.34778,0.33576,0.35948
usmpj,EN,1000,falling,gcc_50,2013-11-19,2013-11-09,2013-10-21,2013-11-20,2013-11-11,2013-10-29,2013-11-18,2013-11-06,2013-10-16,0.33529,0.33804,0.34438,0.33304,0.35561
usmpj,EN,1000,falling,gcc_mean,2018-11-27,2018-11-10,2018-10-25,2018-11-29,2018-11-13,2018-10-31,2018-11-18,2018-11-07,2018-10-11,0.33756,0.34123,0.34686,0.33576,0.35792
usmpj,EN,1000,falling,gcc_mean,2017-12-01,2017-11-17,2017-10-27,2017-12-04,2017-11-24,2017-11-01,2017-11-24,2017-11-09,2017-10-24,0.33853,0.34157,0.34674,0.33695,0.35616
usmpj,EN,1000,falling,gcc_mean,2016-11-26,2016-11-21,2016-11-04,2016-12-01,2016-11-25,2016-11-10,2016-11-22,2016-11-15,2016-10-05,0.3386,0.34138,0.34607,0.33702,0.35491
usmpj,EN,1000,falling,gcc_mean,2015-11-26,2015-11-14,2015-11-02,2015-11-27,2015-11-15,2015-11-05,2015-11-25,2015-11-12,2015-10-31,0.33584,0.33928,0.34593,0.33397,0.35772
usmpj,EN,1000,falling,gcc_mean,2014-11-13,2014-11-10,2014-10-24,2014-11-14,2014-11-11,2014-10-30,2014-11-11,2014-11-04,2014-10-16,0.3385,0.3422,0.34831,0.33694,0.35955
usmpj,EN,1000,falling,gcc_mean,2013-11-19,2013-11-09,2013-10-19,2013-11-20,2013-11-12,2013-10-30,2013-11-18,2013-11-06,2013-10-15,0.33514,0.33816,0.34431,0.33306,0.35544
