#
# Transition date estimate for uwmfieldsta
#
# Site: uwmfieldsta
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2013
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:19:05
# Spline RMSE gcc_mean: 0.00306
# Spline RMSE gcc_50: 0.00318
# Spline RMSE gcc_75: 0.00333
# Spline RMSE gcc_90: 0.00367
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uwmfieldsta,DB,1000,rising,gcc_90,2013-05-10,2013-05-14,2013-05-18,2013-05-08,2013-05-13,2013-05-17,2013-05-13,2013-05-16,2013-05-19,0.32629,0.33679,0.36335,0.31892,0.40587
uwmfieldsta,DB,1000,rising,gcc_90,2014-05-18,2014-05-21,2014-05-25,2014-05-07,2014-05-20,2014-05-23,2014-05-20,2014-05-22,2014-05-26,0.32578,0.33911,0.37039,0.31679,0.41265
uwmfieldsta,DB,1000,rising,gcc_90,2015-05-05,2015-05-12,2015-05-18,2015-04-28,2015-05-11,2015-05-17,2015-05-08,2015-05-14,2015-05-19,0.32478,0.33649,0.36388,0.31557,0.40844
uwmfieldsta,DB,1000,rising,gcc_90,2016-05-09,2016-05-17,2016-05-22,2016-05-03,2016-05-16,2016-05-20,2016-05-14,2016-05-19,2016-05-23,0.32878,0.3388,0.37105,0.3203,0.4056
uwmfieldsta,DB,1000,rising,gcc_90,2017-05-10,2017-05-13,2017-05-18,2017-04-20,2017-05-12,2017-05-17,2017-05-12,2017-05-15,2017-05-19,0.32841,0.33567,0.35886,0.32184,0.39092
uwmfieldsta,DB,1000,rising,gcc_90,2018-05-10,2018-05-14,2018-05-19,2018-05-08,2018-05-13,2018-05-18,2018-05-13,2018-05-16,2018-05-20,0.3285,0.33826,0.36178,0.32198,0.40016
uwmfieldsta,DB,1000,rising,gcc_75,2013-05-10,2013-05-14,2013-05-18,2013-05-04,2013-05-13,2013-05-17,2013-05-12,2013-05-16,2013-05-19,0.32532,0.33568,0.3618,0.31745,0.40252
uwmfieldsta,DB,1000,rising,gcc_75,2014-05-17,2014-05-21,2014-05-25,2014-05-07,2014-05-20,2014-05-23,2014-05-19,2014-05-22,2014-05-26,0.32405,0.33804,0.36775,0.31563,0.40851
uwmfieldsta,DB,1000,rising,gcc_75,2015-05-04,2015-05-12,2015-05-18,2015-04-29,2015-05-11,2015-05-17,2015-05-08,2015-05-14,2015-05-19,0.32314,0.33561,0.36193,0.31466,0.40561
uwmfieldsta,DB,1000,rising,gcc_75,2016-05-07,2016-05-17,2016-05-21,2016-05-02,2016-05-16,2016-05-20,2016-05-13,2016-05-19,2016-05-22,0.32719,0.33814,0.36114,0.31907,0.40267
