#
# Transition date estimate for westpond
#
# Site: westpond
# Veg Type: WL
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:20:50
# Spline RMSE gcc_mean: 0.00216
# Spline RMSE gcc_50: 0.00227
# Spline RMSE gcc_75: 0.00232
# Spline RMSE gcc_90: 0.00225
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
westpond,WL,1000,rising,gcc_90,2013-05-02,2013-05-09,2013-05-22,2013-04-30,2013-05-08,2013-05-20,2013-05-04,2013-05-12,2013-05-23,0.34418,0.35455,0.37741,0.33634,0.41558
westpond,WL,1000,rising,gcc_90,2014-04-20,2014-04-30,2014-05-12,2014-04-16,2014-04-28,2014-05-09,2014-04-24,2014-05-02,2014-05-13,0.34286,0.35177,0.36804,0.33693,0.39776
westpond,WL,1000,rising,gcc_90,2015-04-28,2015-05-10,2015-06-03,2015-04-25,2015-05-08,2015-05-29,2015-05-01,2015-05-13,2015-06-08,0.34405,0.3534,0.37061,0.33785,0.40276
westpond,WL,1000,rising,gcc_90,2016-03-26,2016-04-10,2016-05-06,2016-03-22,2016-04-07,2016-05-02,2016-03-31,2016-04-15,2016-05-09,0.33879,0.3469,0.36118,0.33372,0.38805
westpond,WL,1000,rising,gcc_90,2017-04-08,2017-05-07,2017-06-26,2017-04-04,2017-05-04,2017-06-24,2017-04-15,2017-05-11,2017-06-27,0.34178,0.35582,0.38281,0.3324,0.42946
westpond,WL,1000,rising,gcc_90,2018-05-12,2018-05-25,2018-06-16,2018-05-09,2018-05-22,2018-06-14,2018-05-15,2018-05-29,2018-06-17,0.34659,0.35706,0.3763,0.33961,0.41094
westpond,WL,1000,rising,gcc_75,2013-04-30,2013-05-09,2013-05-22,2013-04-29,2013-05-08,2013-05-20,2013-05-03,2013-05-11,2013-05-23,0.34091,0.35196,0.37193,0.33454,0.40707
westpond,WL,1000,rising,gcc_75,2014-04-21,2014-04-29,2014-05-12,2014-04-18,2014-04-28,2014-05-09,2014-04-24,2014-05-02,2014-05-13,0.34127,0.34877,0.36528,0.33556,0.39291
westpond,WL,1000,rising,gcc_75,2015-04-26,2015-05-09,2015-06-02,2015-04-23,2015-05-07,2015-05-28,2015-04-30,2015-05-12,2015-06-08,0.34165,0.35087,0.36625,0.33618,0.39624
westpond,WL,1000,rising,gcc_75,2016-03-25,2016-04-11,2016-05-06,2016-03-21,2016-04-08,2016-05-02,2016-03-30,2016-04-15,2016-05-09,0.33736,0.34516,0.35873,0.3324,0.38471
westpond,WL,1000,rising,gcc_75,2017-04-04,2017-05-03,2017-06-02,2017-03-31,2017-04-27,2017-06-01,2017-04-09,2017-05-08,2017-06-26,0.33879,0.35174,0.37433,0.33015,0.41794
westpond,WL,1000,rising,gcc_75,2018-05-12,2018-05-24,2018-06-15,2018-05-10,2018-05-21,2018-06-13,2018-05-15,2018-05-27,2018-06-16,0.34338,0.35421,0.37226,0.33637,0.40785
westpond,WL,1000,rising,gcc_50,2013-04-30,2013-05-09,2013-05-22,2013-04-28,2013-05-08,2013-05-20,2013-05-03,2013-05-11,2013-05-23,0.33929,0.34954,0.36769,0.33305,0.40111
westpond,WL,1000,rising,gcc_50,2014-04-20,2014-04-29,2014-05-11,2014-04-17,2014-04-27,2014-05-09,2014-04-23,2014-05-01,2014-05-13,0.33882,0.3467,0.36057,0.33396,0.38637
westpond,WL,1000,rising,gcc_50,2015-04-26,2015-05-09,2015-06-04,2015-04-22,2015-05-07,2015-05-29,2015-04-30,2015-05-13,2015-06-22,0.34009,0.3481,0.36264,0.33446,0.3908
westpond,WL,1000,rising,gcc_50,2016-03-26,2016-04-14,2016-05-08,2016-03-20,2016-04-10,2016-05-04,2016-04-01,2016-04-19,2016-05-11,0.3359,0.34328,0.35589,0.33099,0.38017
westpond,WL,1000,rising,gcc_50,2017-04-12,2017-05-10,2017-06-26,2017-04-08,2017-05-07,2017-06-25,2017-04-19,2017-05-14,2017-06-27,0.34022,0.3521,0.37338,0.33216,0.41321
westpond,WL,1000,rising,gcc_50,2018-05-11,2018-05-24,2018-06-15,2018-05-09,2018-05-22,2018-06-12,2018-05-15,2018-05-28,2018-06-16,0.34086,0.35119,0.36973,0.33466,0.4032
westpond,WL,1000,rising,gcc_mean,2013-04-30,2013-05-08,2013-05-21,2013-04-27,2013-05-07,2013-05-19,2013-05-03,2013-05-11,2013-05-23,0.3393,0.34806,0.36595,0.33288,0.39798
westpond,WL,1000,rising,gcc_mean,2014-04-19,2014-04-28,2014-05-10,2014-04-15,2014-04-26,2014-05-07,2014-04-23,2014-05-01,2014-05-12,0.33853,0.34558,0.35939,0.3337,0.38386
westpond,WL,1000,rising,gcc_mean,2015-04-24,2015-05-07,2015-05-30,2015-04-19,2015-05-05,2015-05-25,2015-04-29,2015-05-11,2015-06-04,0.33925,0.34684,0.36073,0.3344,0.38651
westpond,WL,1000,rising,gcc_mean,2016-03-24,2016-04-09,2016-05-03,2016-03-20,2016-04-05,2016-04-29,2016-03-29,2016-04-15,2016-05-06,0.33468,0.34097,0.35281,0.33036,0.37471
westpond,WL,1000,rising,gcc_mean,2017-04-07,2017-05-05,2017-06-02,2017-04-03,2017-04-27,2017-06-01,2017-04-12,2017-05-10,2017-06-26,0.33775,0.34885,0.36814,0.33031,0.40532
westpond,WL,1000,rising,gcc_mean,2018-05-09,2018-05-21,2018-06-14,2018-05-05,2018-05-19,2018-06-11,2018-05-13,2018-05-25,2018-06-16,0.34012,0.34901,0.36533,0.33465,0.39491
westpond,WL,1000,falling,gcc_90,2018-11-25,2018-11-18,2018-10-30,2018-11-26,2018-11-19,2018-11-04,2018-11-22,2018-11-16,2018-10-28,0.34424,0.35524,0.37405,0.33826,0.40868
westpond,WL,1000,falling,gcc_90,2017-11-20,2017-11-09,2017-10-13,2017-12-01,2017-11-27,2017-10-18,2017-11-10,2017-11-02,2017-10-03,0.34864,0.36187,0.38362,0.34072,0.42636
westpond,WL,1000,falling,gcc_90,2016-11-16,2016-11-10,2016-10-31,2016-11-17,2016-11-11,2016-11-02,2016-11-13,2016-11-07,2016-10-30,0.33731,0.34507,0.3614,0.3327,0.38849
westpond,WL,1000,falling,gcc_90,2015-11-27,2015-11-21,2015-10-29,2015-11-28,2015-11-23,2015-10-31,2015-11-24,2015-11-11,2015-10-27,0.34923,0.35724,0.3722,0.34471,0.3989
westpond,WL,1000,falling,gcc_90,2014-11-28,2014-11-22,2014-11-10,2014-11-29,2014-11-24,2014-11-13,2014-11-26,2014-11-20,2014-11-08,0.34719,0.35576,0.37059,0.34242,0.39718
westpond,WL,1000,falling,gcc_90,2013-11-26,2013-11-14,2013-11-01,2013-11-29,2013-11-16,2013-11-03,2013-11-22,2013-11-12,2013-10-30,0.34643,0.35782,0.37668,0.33969,0.41335
westpond,WL,1000,falling,gcc_90,2012-11-23,2012-11-17,2012-10-30,2012-11-25,2012-11-18,2012-11-02,2012-11-21,2012-11-14,2012-10-29,0.3516,0.36257,0.38561,0.34362,0.42571
westpond,WL,1000,falling,gcc_75,2018-11-25,2018-11-19,2018-11-01,2018-11-27,2018-11-20,2018-11-04,2018-11-23,2018-11-17,2018-10-29,0.34218,0.35211,0.37099,0.33504,0.40647
westpond,WL,1000,falling,gcc_75,2017-11-23,2017-11-14,2017-10-20,2017-12-01,2017-12-01,2017-10-22,2017-11-10,2017-11-10,2017-10-19,0.34271,0.35481,0.37607,0.33561,0.41543
westpond,WL,1000,falling,gcc_75,2016-11-16,2016-11-09,2016-10-31,2016-11-17,2016-11-10,2016-11-02,2016-11-13,2016-11-07,2016-10-30,0.33476,0.34381,0.35801,0.33011,0.38567
westpond,WL,1000,falling,gcc_75,2015-11-25,2015-11-10,2015-10-27,2015-11-26,2015-11-14,2015-10-29,2015-11-22,2015-11-07,2015-10-25,0.34911,0.35768,0.37066,0.34514,0.39564
westpond,WL,1000,falling,gcc_75,2014-11-28,2014-11-23,2014-11-12,2014-11-29,2014-11-24,2014-11-14,2014-11-26,2014-11-21,2014-11-10,0.34453,0.35172,0.36594,0.34037,0.39126
westpond,WL,1000,falling,gcc_75,2013-11-27,2013-11-15,2013-11-03,2013-11-30,2013-11-16,2013-11-05,2013-11-23,2013-11-13,2013-11-02,0.3437,0.35415,0.37221,0.3374,0.40624
westpond,WL,1000,falling,gcc_75,2012-11-22,2012-11-17,2012-11-01,2012-11-23,2012-11-18,2012-11-04,2012-11-21,2012-11-14,2012-10-30,0.35089,0.36039,0.3811,0.3435,0.41796
westpond,WL,1000,falling,gcc_50,2018-11-27,2018-11-21,2018-11-04,2018-11-29,2018-11-22,2018-11-08,2018-11-25,2018-11-18,2018-11-02,0.33809,0.34734,0.36672,0.3317,0.40056
westpond,WL,1000,falling,gcc_50,2017-11-22,2017-11-13,2017-10-20,2017-12-01,2017-12-01,2017-10-22,2017-11-10,2017-11-10,2017-10-19,0.3407,0.3523,0.37293,0.33319,0.41157
westpond,WL,1000,falling,gcc_50,2016-11-17,2016-11-10,2016-10-31,2016-11-19,2016-11-11,2016-11-02,2016-11-14,2016-11-08,2016-10-30,0.33028,0.33835,0.35378,0.32557,0.38051
