#
# Transition date estimate for willamettepoplar
#
# Site: willamettepoplar
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:21:18
# Spline RMSE gcc_mean: 0.00259
# Spline RMSE gcc_50: 0.00276
# Spline RMSE gcc_75: 0.0031
# Spline RMSE gcc_90: 0.00348
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
willamettepoplar,DB,1000,rising,gcc_90,2016-03-14,2016-03-17,2016-03-24,2015-11-04,2016-03-13,2016-03-22,2016-03-17,2016-03-19,2016-03-25,0.33096,0.34743,0.3734,0.32448,0.42041
willamettepoplar,DB,1000,rising,gcc_90,2017-03-14,2017-03-31,2017-04-08,2017-03-10,2017-03-30,2017-04-06,2017-03-26,2017-04-02,2017-04-09,0.35244,0.36417,0.38895,0.34441,0.42819
willamettepoplar,DB,1000,rising,gcc_90,2018-03-28,2018-04-02,2018-04-08,2018-03-11,2018-04-01,2018-04-07,2018-03-31,2018-04-04,2018-04-09,0.35447,0.3651,0.38768,0.34674,0.42664
willamettepoplar,DB,1000,rising,gcc_75,2016-03-14,2016-03-17,2016-03-25,2015-11-04,2016-03-13,2016-03-23,2016-03-17,2016-03-19,2016-03-26,0.33205,0.34682,0.37384,0.32472,0.41674
willamettepoplar,DB,1000,rising,gcc_75,2017-03-24,2017-04-01,2017-04-08,2017-03-11,2017-03-31,2017-04-06,2017-03-28,2017-04-03,2017-04-09,0.35001,0.36225,0.38531,0.34252,0.42461
willamettepoplar,DB,1000,rising,gcc_75,2018-03-28,2018-04-02,2018-04-08,2018-03-24,2018-04-01,2018-04-07,2018-03-31,2018-04-04,2018-04-09,0.3518,0.36247,0.3841,0.34467,0.42308
willamettepoplar,DB,1000,rising,gcc_50,2016-03-14,2016-03-18,2016-03-26,2015-11-04,2016-03-12,2016-03-24,2016-03-17,2016-03-20,2016-03-27,0.33332,0.34847,0.37277,0.32756,0.41291
willamettepoplar,DB,1000,rising,gcc_50,2017-03-27,2017-04-02,2017-04-08,2017-03-24,2017-04-01,2017-04-07,2017-03-30,2017-04-03,2017-04-09,0.34816,0.35996,0.38031,0.3405,0.41914
willamettepoplar,DB,1000,rising,gcc_50,2018-03-29,2018-04-02,2018-04-09,2018-03-27,2018-04-01,2018-04-07,2018-03-31,2018-04-04,2018-04-10,0.35,0.35916,0.38297,0.34276,0.41817
willamettepoplar,DB,1000,rising,gcc_mean,2016-03-14,2016-03-18,2016-03-25,2015-11-04,2016-03-12,2016-03-24,2016-03-17,2016-03-20,2016-03-26,0.33256,0.34787,0.36948,0.32808,0.41033
willamettepoplar,DB,1000,rising,gcc_mean,2017-03-25,2017-04-01,2017-04-08,2017-03-14,2017-03-31,2017-04-07,2017-03-28,2017-04-03,2017-04-09,0.34823,0.35825,0.38073,0.34062,0.41882
willamettepoplar,DB,1000,rising,gcc_mean,2018-03-28,2018-04-02,2018-04-09,2018-03-26,2018-04-01,2018-04-07,2018-03-31,2018-04-04,2018-04-10,0.34948,0.35928,0.38324,0.34308,0.41748
willamettepoplar,DB,1000,falling,gcc_90,2017-11-08,2017-11-02,2017-10-19,2017-11-12,2017-11-04,2017-10-24,2017-11-05,2017-10-30,2017-10-04,0.35483,0.3629,0.37826,0.34912,0.4066
willamettepoplar,DB,1000,falling,gcc_90,2016-10-08,2016-09-20,2016-08-12,2016-10-27,2016-09-25,2016-08-31,2016-09-27,2016-09-14,2016-08-01,0.3506,0.35892,0.37354,0.34498,0.40171
willamettepoplar,DB,1000,falling,gcc_90,2015-10-25,2015-10-12,2015-07-23,2015-10-29,2015-10-16,2015-08-17,2015-10-21,2015-10-06,2015-07-15,0.35044,0.36196,0.38186,0.34318,0.42048
willamettepoplar,DB,1000,falling,gcc_75,2017-11-07,2017-10-31,2017-10-05,2017-11-10,2017-11-02,2017-10-21,2017-11-03,2017-10-28,2017-09-25,0.35268,0.36099,0.37597,0.34727,0.40457
willamettepoplar,DB,1000,falling,gcc_75,2016-10-05,2016-09-20,2016-08-16,2016-10-28,2016-09-24,2016-09-01,2016-09-28,2016-09-15,2016-08-10,0.34743,0.35573,0.37059,0.34171,0.39895
willamettepoplar,DB,1000,falling,gcc_75,2015-10-25,2015-10-11,2015-07-24,2015-10-28,2015-10-15,2015-08-21,2015-10-21,2015-10-06,2015-07-17,0.34876,0.36036,0.37928,0.34165,0.41688
willamettepoplar,DB,1000,falling,gcc_50,2017-11-06,2017-10-30,2017-10-05,2017-11-10,2017-11-01,2017-10-15,2017-11-03,2017-10-27,2017-09-30,0.35034,0.35772,0.37316,0.34476,0.40058
willamettepoplar,DB,1000,falling,gcc_50,2016-10-07,2016-09-21,2016-08-23,2016-10-24,2016-09-25,2016-09-02,2016-09-30,2016-09-16,2016-08-14,0.34534,0.35338,0.36731,0.33988,0.39465
willamettepoplar,DB,1000,falling,gcc_50,2015-10-25,2015-10-11,2015-08-15,2015-10-28,2015-10-15,2015-09-14,2015-10-21,2015-10-07,2015-07-20,0.34706,0.35787,0.37613,0.34005,0.41194
willamettepoplar,DB,1000,falling,gcc_mean,2017-11-08,2017-11-01,2017-10-11,2017-11-11,2017-11-03,2017-10-20,2017-11-05,2017-10-29,2017-10-04,0.34932,0.35717,0.37184,0.34454,0.39885
willamettepoplar,DB,1000,falling,gcc_mean,2016-10-13,2016-09-22,2016-08-24,2016-10-26,2016-09-26,2016-09-03,2016-09-30,2016-09-17,2016-08-14,0.34576,0.3535,0.36738,0.34047,0.3942
willamettepoplar,DB,1000,falling,gcc_mean,2015-10-26,2015-10-12,2015-08-15,2015-10-29,2015-10-15,2015-09-13,2015-10-22,2015-10-08,2015-07-20,0.34649,0.35754,0.37561,0.34018,0.41081
