#
# Transition date estimate for willowcreek
#
# Site: willowcreek
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-01-14
# Final Processing Time: 18:21:57
# Spline RMSE gcc_mean: 0.00254
# Spline RMSE gcc_50: 0.0028
# Spline RMSE gcc_75: 0.00306
# Spline RMSE gcc_90: 0.00319
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
willowcreek,DB,1000,rising,gcc_90,2012-05-03,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-10,2012-05-05,2012-05-08,2012-05-12,0.34362,0.35992,0.39239,0.33706,0.44465
willowcreek,DB,1000,rising,gcc_90,2013-05-14,2013-05-16,2013-05-21,2013-05-13,2013-05-15,2013-05-19,2013-05-16,2013-05-18,2013-05-22,0.33643,0.35054,0.39434,0.32863,0.44826
willowcreek,DB,1000,rising,gcc_90,2014-05-20,2014-05-22,2014-05-26,2014-05-19,2014-05-21,2014-05-25,2014-05-22,2014-05-24,2014-05-27,0.33503,0.35231,0.39743,0.32882,0.45533
willowcreek,DB,1000,rising,gcc_90,2015-05-08,2015-05-13,2015-05-19,2015-05-06,2015-05-12,2015-05-17,2015-05-10,2015-05-15,2015-05-20,0.3388,0.35696,0.39101,0.32846,0.44596
willowcreek,DB,1000,rising,gcc_90,2016-05-07,2016-05-14,2016-05-20,2016-05-05,2016-05-13,2016-05-18,2016-05-10,2016-05-16,2016-05-21,0.33931,0.35711,0.39769,0.32714,0.45487
willowcreek,DB,1000,rising,gcc_90,2017-05-09,2017-05-12,2017-05-18,2017-05-08,2017-05-11,2017-05-16,2017-05-11,2017-05-14,2017-05-19,0.33672,0.35304,0.38722,0.32743,0.44
willowcreek,DB,1000,rising,gcc_90,2018-05-08,2018-05-11,2018-05-15,2018-05-07,2018-05-10,2018-05-14,2018-05-10,2018-05-12,2018-05-16,0.33606,0.3548,0.39119,0.32846,0.44604
willowcreek,DB,1000,rising,gcc_75,2012-05-04,2012-05-07,2012-05-12,2012-05-03,2012-05-06,2012-05-11,2012-05-06,2012-05-09,2012-05-13,0.3455,0.35816,0.38854,0.33583,0.43869
willowcreek,DB,1000,rising,gcc_75,2013-05-15,2013-05-17,2013-05-21,2013-05-14,2013-05-16,2013-05-20,2013-05-16,2013-05-18,2013-05-22,0.33926,0.3553,0.38966,0.32803,0.44382
willowcreek,DB,1000,rising,gcc_75,2014-05-21,2014-05-22,2014-05-26,2014-05-20,2014-05-21,2014-05-25,2014-05-22,2014-05-24,2014-05-27,0.33979,0.34908,0.39214,0.32819,0.44984
willowcreek,DB,1000,rising,gcc_75,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.33688,0.35444,0.38711,0.32762,0.44105
willowcreek,DB,1000,rising,gcc_75,2016-05-07,2016-05-14,2016-05-20,2016-05-05,2016-05-13,2016-05-19,2016-05-10,2016-05-16,2016-05-21,0.33804,0.35418,0.39082,0.32631,0.45183
willowcreek,DB,1000,rising,gcc_75,2017-05-09,2017-05-12,2017-05-18,2017-05-08,2017-05-11,2017-05-16,2017-05-11,2017-05-14,2017-05-19,0.335,0.35005,0.38315,0.32638,0.43275
willowcreek,DB,1000,rising,gcc_75,2018-05-09,2018-05-11,2018-05-15,2018-05-08,2018-05-10,2018-05-14,2018-05-10,2018-05-12,2018-05-16,0.33901,0.35232,0.38727,0.32785,0.4397
willowcreek,DB,1000,rising,gcc_50,2012-05-05,2012-05-09,2012-05-14,2012-05-04,2012-05-08,2012-05-12,2012-05-07,2012-05-10,2012-05-15,0.34316,0.36067,0.39054,0.3366,0.43332
willowcreek,DB,1000,rising,gcc_50,2013-05-15,2013-05-17,2013-05-21,2013-05-14,2013-05-16,2013-05-20,2013-05-16,2013-05-18,2013-05-22,0.33592,0.35163,0.38568,0.32676,0.43964
willowcreek,DB,1000,rising,gcc_50,2014-05-21,2014-05-23,2014-05-27,2014-05-20,2014-05-22,2014-05-26,2014-05-23,2014-05-24,2014-05-28,0.33378,0.35017,0.38882,0.32715,0.44202
willowcreek,DB,1000,rising,gcc_50,2015-05-09,2015-05-13,2015-05-20,2015-05-07,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-21,0.3367,0.35049,0.38367,0.32681,0.4329
willowcreek,DB,1000,rising,gcc_50,2016-05-07,2016-05-15,2016-05-21,2016-05-05,2016-05-13,2016-05-19,2016-05-10,2016-05-17,2016-05-22,0.3362,0.3545,0.39425,0.32514,0.44556
willowcreek,DB,1000,rising,gcc_50,2017-05-09,2017-05-13,2017-05-18,2017-05-08,2017-05-12,2017-05-17,2017-05-11,2017-05-14,2017-05-19,0.33217,0.34961,0.37607,0.32466,0.42697
willowcreek,DB,1000,rising,gcc_50,2018-05-09,2018-05-12,2018-05-16,2018-05-08,2018-05-11,2018-05-14,2018-05-11,2018-05-13,2018-05-17,0.33468,0.35382,0.38676,0.32683,0.43481
willowcreek,DB,1000,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-13,2012-05-03,2012-05-06,2012-05-11,2012-05-06,2012-05-09,2012-05-14,0.34088,0.35251,0.38724,0.33213,0.4308
willowcreek,DB,1000,rising,gcc_mean,2013-05-15,2013-05-17,2013-05-21,2013-05-14,2013-05-16,2013-05-20,2013-05-16,2013-05-18,2013-05-22,0.3359,0.35143,0.38533,0.32649,0.43866
willowcreek,DB,1000,rising,gcc_mean,2014-05-21,2014-05-23,2014-05-27,2014-05-20,2014-05-22,2014-05-26,2014-05-22,2014-05-24,2014-05-28,0.33465,0.35143,0.38979,0.32676,0.44137
willowcreek,DB,1000,rising,gcc_mean,2015-05-09,2015-05-13,2015-05-20,2015-05-07,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-21,0.33659,0.34959,0.3832,0.32635,0.43208
